Tiempo_s,Error_Pixeles
167.600,93.19
167.800,94.54
168.200,94.56
168.300,80.89
168.600,84.97
168.800,45.19
169.100,27.51
169.500,44.78
169.800,22.00
170.200,10.30
170.600,54.08
170.700,31.14
171.100,27.86
171.800,29.15
172.000,31.00
172.500,30.27
172.800,72.11
172.900,94.01
173.400,102.59
173.900,157.01
174.300,153.08
175.000,166.51
175.600,131.38
175.800,103.08
176.400,67.90
176.700,107.52
176.800,108.78
177.000,96.18
177.200,91.20
177.300,103.70
177.400,109.84
177.600,111.20
177.700,104.79
177.800,103.74
178.000,107.15
178.100,121.64
178.300,128.32
178.400,131.32
178.600,135.82
178.700,134.85
178.800,131.90
179.000,141.23
179.100,148.49
179.300,152.40
179.400,151.95
179.600,154.04
179.800,149.48
180.000,163.48
180.100,170.33
180.300,163.60
180.500,165.13
180.700,169.84
180.800,167.44
181.100,154.78
181.300,129.84
181.400,115.43
181.600,114.49
181.800,93.06
181.900,86.61
182.100,85.70
182.200,87.32
182.400,92.10
182.500,91.93
182.600,89.87
182.800,87.78
182.900,84.86
183.100,82.07
183.200,76.69
183.300,70.60
183.500,56.44
183.700,47.93
183.800,39.85
184.000,27.02
184.100,23.19
184.300,23.32
184.400,27.29
184.600,34.21
184.800,44.42
185.000,45.45
185.100,60.88
185.200,72.18
185.500,75.07
185.700,72.12
185.800,73.66
186.000,68.88
186.100,71.02
186.200,66.65
186.300,64.47
186.400,62.94
186.600,65.00
186.700,67.36
186.900,71.78
187.000,74.32
187.100,76.01
187.300,80.21
187.500,89.31
187.600,92.11
187.800,94.03
187.900,92.44
188.100,95.41
188.200,95.44
188.400,92.20
188.600,88.81
188.700,82.66
188.800,79.88
188.900,74.33
189.000,68.80
189.100,64.66
189.300,60.54
189.400,48.33
189.600,34.71
189.700,23.77
189.900,15.00
190.000,4.00
190.200,8.94
190.400,13.93
190.500,31.91
190.700,50.22
190.800,60.21
191.000,69.66
191.100,66.71
191.300,78.24
191.400,79.61
191.600,74.63
191.700,74.63
191.800,63.41
191.900,59.03
192.100,54.67
192.300,56.04
192.400,44.94
192.600,38.01
192.700,30.68
192.800,33.24
192.900,37.34
193.100,44.78
193.300,47.01
193.400,43.42
193.500,43.29
193.700,41.19
193.800,45.62
193.900,46.40
194.000,40.31
194.200,31.89
194.300,20.00
194.500,15.52
194.600,8.06
194.700,7.81
194.900,1.00
195.000,12.53
195.200,17.49
195.400,23.32
195.500,41.05
195.700,53.60
195.800,64.66
196.000,70.94
196.100,77.08
196.200,82.22
196.400,90.21
196.600,100.34
196.800,103.32
197.000,101.59
197.100,100.44
197.300,98.31
197.400,92.20
197.400,89.00
197.600,89.05
198.000,84.48
198.100,72.56
198.600,59.84
198.900,54.04
199.400,43.01
199.500,53.08
199.900,56.08
200.200,56.60
200.500,70.52
200.900,75.95
201.400,94.53
201.800,112.75
202.100,120.30
202.800,120.15
203.300,128.41
203.500,123.56
203.600,131.13
203.800,120.07
203.900,110.98
204.100,112.54
204.700,116.21
205.100,93.49
205.400,39.20
205.700,16.28
205.900,14.04
206.000,23.71
206.200,61.22
206.500,59.41
206.800,46.32
207.500,74.22
